2021 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Blackstone-Millville,06220000,ELA,         343,45,          43,6,         300,40,         312,41,          99,13,         754,99,     496.5,          36.0,         497
Blackstone-Millville,06220000,MATH,         243,32,          16,2,         227,30,         389,52,         122,16,         754,99,     489.8,          34.0,         497
Blackstone-Millville,06220000,SCI,          87,36,          11,5,          76,31,         117,48,          40,16,         244,97,     491.9,,
Boston,00350000,ELA,"       5,828",31,         885,5,"       4,943",26,"       7,651",41,"       5,220",28,"      18,699",91,     487.4,          33.4,"      10,075"
Boston,00350000,MATH,"       3,709",20,         492,3,"       3,217",17,"       7,759",42,"       7,210",39,"      18,678",91,     479.5,          26.8,"      10,096"
Boston,00350000,SCI,         869,19,         119,3,         750,16,"       2,025",44,"       1,746",38,"       4,640",87,     480.1,,
Boston Collegiate Charter (District),04490000,ELA,         142,37,          13,3,         129,34,         175,46,          66,17,         383,99,     492.0,          33.2,         314
Boston Collegiate Charter (District),04490000,MATH,         109,29,           9,2,         100,26,         207,54,          66,17,         382,99,     489.4,          32.3,         312
Boston Collegiate Charter (District),04490000,SCI,          48,30,           2,1,          46,29,          90,56,          23,14,         161,99,     489.8,,
Boston Green Academy Horace Mann Charter School (District),04110000,ELA,          19,14,           3,2,          16,12,          69,50,          51,37,         139,82,     478.5,          26.4,         131
Boston Green Academy Horace Mann Charter School (District),04110000,MATH,           7,4,           0,0,           7,4,          89,57,          60,38,         156,91,     474.8,          25.3,         145
Boston Green Academy Horace Mann Charter School (District),04110000,SCI,           3,9,           0,0,           3,9,          15,45,          15,45,          33,79,     475.6,,
Boston Preparatory Charter Public (District),04160000,ELA,          88,29,          13,4,          75,25,         144,48,          70,23,         302,97,     488.1,          39.5,         281
Boston Preparatory Charter Public (District),04160000,MATH,          42,14,           2,1,          40,13,         180,59,          83,27,         305,98,     480.8,          27.0,         283
Boston Preparatory Charter Public (District),04160000,SCI,          13,19,           2,3,          11,16,          43,61,          14,20,          70,95,     485.3,,
Boston Renaissance Charter Public (District),04810000,ELA,         110,27,          11,3,          99,24,         211,52,          84,21,         405,97,     487.1,          28.7,         150
Boston Renaissance Charter Public (District),04810000,MATH,          50,12,           3,1,          47,12,         179,44,         178,44,         407,98,     474.2,          17.8,         150
Boston Renaissance Charter Public (District),04810000,SCI,          20,21,           3,3,          17,18,          37,39,          37,39,          94,94,     479.6,,
Bourne,00360000,ELA,         316,39,          30,4,         286,35,         347,43,         144,18,         807,94,     492.0,          30.5,         514
Bourne,00360000,MATH,         223,27,           8,1,         215,26,         430,53,         159,20,         812,95,     487.0,          30.1,         516
Bourne,00360000,SCI,          97,35,          15,5,          82,30,         140,51,          39,14,         276,95,     492.7,,
Boxford,00380000,ELA,         249,65,          41,11,         208,54,         117,30,          19,5,         385,99,     506.3,          46.1,         190
Boxford,00380000,MATH,         191,50,          20,5,         171,44,         163,42,          31,8,         385,99,     499.2,          48.9,         190
Boxford,00380000,SCI,          64,58,           7,6,          57,51,          40,36,           7,6,         111,100,     503.4,,
Braintree,00400000,ELA,"       1,515",59,         297,11,"       1,218",47,         862,33,         207,8,"       2,584",98,     504.2,          36.2,"       1,651"
Braintree,00400000,MATH,"       1,155",45,         148,6,"       1,007",39,"       1,146",44,         284,11,"       2,585",98,     497.4,          32.2,"       1,649"
Braintree,00400000,SCI,         428,53,          77,10,         351,44,         292,36,          82,10,         802,97,     501.5,,
Brewster,00410000,ELA,         107,54,          15,8,          92,46,          78,39,          14,7,         199,93,     500.9,          31.8,          65
Brewster,00410000,MATH,          72,36,           9,5,          63,32,          95,48,          32,16,         199,93,     491.4,          27.3,          65
Brewster,00410000,SCI,          39,55,           9,13,          30,42,          25,35,           7,10,          71,90,     502.9,,
Bridge Boston Charter School (District),04170000,ELA,          45,28,           3,2,          42,27,          82,52,          31,20,         158,82,     487.0,          26.5,          94
Bridge Boston Charter School (District),04170000,MATH,          24,15,           4,3,          20,13,          77,49,          56,36,         157,82,     478.0,          28.5,          92
Bridge Boston Charter School (District),04170000,SCI,           7,14,           0,0,           7,14,          26,53,          16,33,          49,89,     479.4,,
Bridgewater-Raynham,06250000,ELA,"       1,227",49,         154,6,"       1,073",42,"       1,024",41,         277,11,"       2,528",97,     498.2,          32.9,"       1,567"
Bridgewater-Raynham,06250000,MATH,"       1,008",40,          85,3,         923,37,"       1,199",47,         318,13,"       2,525",97,     493.9,          31.3,"       1,564"
Bridgewater-Raynham,06250000,SCI,         362,45,          44,6,         318,40,         329,41,         105,13,         796,94,     496.4,,
Brimfield,00430000,ELA,          85,55,          13,8,          72,47,          54,35,          15,10,         154,97,     501.8,          46.7,          74
Brimfield,00430000,MATH,          81,52,           9,6,          72,46,          56,36,          18,12,         155,97,     500.3,          51.3,          74
Brimfield,00430000,SCI,          20,63,           5,16,          15,47,          10,31,           2,6,          32,100,     504.8,,
Brockton,00440000,ELA,"       1,470",21,         107,2,"       1,363",19,"       3,277",46,"       2,360",33,"       7,107",97,     481.4,          34.5,"       4,132"
Brockton,00440000,MATH,         781,11,          43,1,         738,10,"       3,102",44,"       3,229",45,"       7,112",97,     473.6,          27.5,"       4,125"
Brockton,00440000,SCI,         348,16,          30,1,         318,14,         991,45,         859,39,"       2,198",94,     478.6,,
Brooke Charter School (District),04280000,ELA,         588,53,         158,14,         430,39,         428,39,          85,8,"       1,101",99,     503.4,          40.2,         650
Brooke Charter School (District),04280000,MATH,         499,45,          51,5,         448,41,         486,44,         113,10,"       1,098",99,     497.0,          31.2,         651
Brooke Charter School (District),04280000,SCI,         109,41,          11,4,          98,37,         121,45,          37,14,         267,97,     494.0,,
Brookfield,00450000,ELA,          87,59,          12,8,          75,51,          45,30,          16,11,         148,100,     500.7,          38.5,          74
Brookfield,00450000,MATH,          76,51,          17,11,          59,40,          58,39,          14,9,         148,100,     500.7,          55.8,          75
Brookfield,00450000,SCI,          27,66,           8,20,          19,46,          12,29,           2,5,          41,100,     510.0,,
Brookline,00460000,ELA,"       2,189",72,         663,22,"       1,526",50,         696,23,         163,5,"       3,048",98,     512.1,          50.7,"       1,867"
Brookline,00460000,MATH,"       1,953",64,         492,16,"       1,461",48,         848,28,         233,8,"       3,034",97,     507.5,          46.8,"       1,859"
Brookline,00460000,SCI,         663,67,         166,17,         497,50,         276,28,          53,5,         992,96,     508.1,,
Burlington,00480000,ELA,         860,56,         147,10,         713,46,         540,35,         146,9,"       1,546",94,     502.2,          39.2,         889
Burlington,00480000,MATH,         762,50,         134,9,         628,41,         610,40,         166,11,"       1,538",93,     499.8,          36.1,         882
Burlington,00480000,SCI,         195,42,          23,5,         172,37,         218,46,          56,12,         469,93,     495.8,,
Cambridge,00490000,ELA,"       1,227",57,         285,13,         942,44,         636,30,         272,13,"       2,135",79,     502.7,          34.8,"       1,120"
Cambridge,00490000,MATH,         831,39,         159,7,         672,32,         874,41,         416,20,"       2,121",78,     493.6,          28.2,"       1,108"
Cambridge,00490000,SCI,         260,47,          59,11,         201,36,         207,37,          90,16,         557,73,     497.9,,
Canton,00500000,ELA,         890,60,         166,11,         724,49,         460,31,         125,8,"       1,475",98,     504.4,          37.7,         926
Canton,00500000,MATH,         657,45,          96,7,         561,38,         636,43,         178,12,"       1,471",97,     496.9,          28.0,         922
Canton,00500000,SCI,         233,53,          45,10,         188,42,         159,36,          51,12,         443,97,     500.1,,
Cape Cod Lighthouse Charter (District),04320000,ELA,         146,60,          22,9,         124,51,          76,31,          20,8,         242,96,     503.3,          40.4,         219
Cape Cod Lighthouse Charter (District),04320000,MATH,          88,37,           4,2,          84,35,         123,52,          27,11,         238,95,     493.0,          24.1,         215
Cape Cod Lighthouse Charter (District),04320000,SCI,          31,42,           2,3,          29,39,          38,51,           5,7,          74,91,     497.7,,
Carlisle,00510000,ELA,         304,76,          78,19,         226,56,          82,20,          15,4,         401,98,     513.0,          43.2,         244
